AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
ALICE SPRINGS,1986,6,23238,23464,46702,0,0,0,23238,23464,46702
All Australian Airports,1986,6,1143147,1143147,2286294,209651,220335,429986,1352798,1363482,2716280
BALLINA,1986,6,0,0,0,0,0,0,0,0,0
BRISBANE,1986,6,119830,120612,240442,25989,25327,51316,145819,145939,291758
CAIRNS,1986,6,25229,23192,48421,2782,2115,4897,28011,25307,53318
CANBERRA,1986,6,39445,39870,79315,0,0,0,39445,39870,79315
DARWIN,1986,6,16860,15978,32838,1699,1951,3650,18559,17929,36488
GOLD COAST,1986,6,26179,28299,54478,0,0,0,26179,28299,54478
HAMILTON ISLAND,1986,6,1906,1939,3845,0,0,0,1906,1939,3845
HOBART,1986,6,17866,16406,34272,678,477,1155,18544,16883,35427
KARRATHA,1986,6,9204,8985,18189,0,0,0,9204,8985,18189
LAUNCESTON,1986,6,20743,20323,41066,0,0,0,20743,20323,41066
MACKAY,1986,6,10079,9604,19683,0,0,0,10079,9604,19683
MELBOURNE,1986,6,198483,201689,400172,44415,48510,92925,242898,250199,493097
PERTH,1986,6,50590,54295,104885,20645,25231,45876,71235,79526,150761
ROCKHAMPTON,1986,6,19860,19696,39556,0,0,0,19860,19696,39556
SUNSHINE COAST,1986,6,3049,3065,6114,0,0,0,3049,3065,6114
SYDNEY,1986,6,261853,260094,521947,105416,108905,214321,367269,368999,736268
TOWNSVILLE,1986,6,41880,42013,83893,1677,1241,2918,43557,43254,86811
NEWCASTLE,1986,6,2967,2929,5896,0,0,0,2967,2929,5896
ADELAIDE,1986,7,75629,75906,151535,5279,5665,10944,80908,81571,162479
ALICE SPRINGS,1986,7,27238,27558,54796,0,0,0,27238,27558,54796
All Australian Airports,1986,7,1184132,1184132,2368264,239617,228905,468522,1423749,1413037,2836786
BALLINA,1986,7,0,0,0,0,0,0,0,0,0
BRISBANE,1986,7,127066,122112,249178,28505,24481,52986,155571,146593,302164
CAIRNS,1986,7,27911,26182,54093,3583,3073,6656,31494,29255,60749
CANBERRA,1986,7,39731,39390,79121,0,0,0,39731,39390,79121
DARWIN,1986,7,19271,20268,39539,2827,3143,5970,22098,23411,45509
GOLD COAST,1986,7,29810,27743,57553,0,0,0,29810,27743,57553
HAMILTON ISLAND,1986,7,2987,2828,5815,0,0,0,2987,2828,5815
HOBART,1986,7,14527,15412,29939,478,392,870,15005,15804,30809
KARRATHA,1986,7,9696,9834,19530,0,0,0,9696,9834,19530
LAUNCESTON,1986,7,18185,18573,36758,0,0,0,18185,18573,36758
MACKAY,1986,7,9363,9751,19114,0,0,0,9363,9751,19114
MELBOURNE,1986,7,200982,206457,407439,49505,52158,101663,250487,258615,509102
PERTH,1986,7,57790,53761,111551,25304,21016,46320,83094,74777,157871
ROCKHAMPTON,1986,7,17900,17902,35802,0,0,0,17900,17902,35802
SUNSHINE COAST,1986,7,3141,2817,5958,0,0,0,3141,2817,5958
SYDNEY,1986,7,271829,275962,547791,121470,116714,238184,393299,392676,785975
TOWNSVILLE,1986,7,46926,46532,93458,1683,1321,3004,48609,47853,96462
NEWCASTLE,1986,7,2775,2826,5601,0,0,0,2775,2826,5601
ADELAIDE,1986,8,86256,86477,172733,6065,5195,11260,92321,91672,183993
ALICE SPRINGS,1986,8,30468,29512,59980,0,0,0,30468,29512,59980
All Australian Airports,1986,8,1338199,1338199,2676398,255503,261532,517035,1593702,1599731,3193433
BALLINA,1986,8,0,0,0,0,0,0,0,0,0
BRISBANE,1986,8,148676,140853,289529,25147,25817,50964,173823,166670,340493
CAIRNS,1986,8,33350,30767,64117,3095,2895,5990,36445,33662,70107
CANBERRA,1986,8,43625,45625,89250,0,0,0,43625,45625,89250
DARWIN,1986,8,18900,19132,38032,2564,2177,4741,21464,21309,42773
GOLD COAST,1986,8,47005,40696,87701,0,0,0,47005,40696,87701
HAMILTON ISLAND,1986,8,5172,4658,9830,0,0,0,5172,4658,9830
HOBART,1986,8,18095,18629,36724,257,320,577,18352,18949,37301
KARRATHA,1986,8,8313,8552,16865,0,0,0,8313,8552,16865
LAUNCESTON,1986,8,24408,23231,47639,0,0,0,24408,23231,47639
MACKAY,1986,8,10585,10208,20793,0,0,0,10585,10208,20793
MELBOURNE,1986,8,230516,245989,476505,60089,62471,122560,290605,308460,599065
PERTH,1986,8,57925,54067,111992,24098,21551,45649,82023,75618,157641
ROCKHAMPTON,1986,8,20326,20295,40621,0,0,0,20326,20295,40621
SUNSHINE COAST,1986,8,5097,4252,9349,0,0,0,5097,4252,9349
SYDNEY,1986,8,301466,310945,612411,131658,138438,270096,433124,449383,882507
TOWNSVILLE,1986,8,49942,49533,99475,1461,1683,3144,51403,51216,102619
NEWCASTLE,1986,8,3248,3429,6677,0,0,0,3248,3429,6677
ADELAIDE,1986,9,85678,82096,167774,7182,5557,12739,92860,87653,180513
ALICE SPRINGS,1986,9,24455,25216,49671,0,0,0,24455,25216,49671
All Australian Airports,1986,9,1293720,1293720,2587440,266920,221479,488399,1560640,1515199,3075839
BALLINA,1986,9,0,0,0,0,0,0,0,0,0
BRISBANE,1986,9,132457,141321,273778,24248,26517,50765,156705,167838,324543
CAIRNS,1986,9,26942,31597,58539,3157,2093,5250,30099,33690,63789
CANBERRA,1986,9,45032,42508,87540,0,0,0,45032,42508,87540
DARWIN,1986,9,14618,17321,31939,1928,1718,3646,16546,19039,35585
GOLD COAST,1986,9,35552,51058,86610,0,0,0,35552,51058,86610
HAMILTON ISLAND,1986,9,3826,4424,8250,0,0,0,3826,4424,8250
HOBART,1986,9,21620,20357,41977,967,813,1780,22587,21170,43757
KARRATHA,1986,9,8554,8443,16997,0,0,0,8554,8443,16997
LAUNCESTON,1986,9,25430,25005,50435,0,0,0,25430,25005,50435
MACKAY,1986,9,10148,10509,20657,0,0,0,10148,10509,20657
MELBOURNE,1986,9,246380,221897,468277,66987,46325,113312,313367,268222,581589
PERTH,1986,9,59418,63512,122930,26677,24114,50791,86095,87626,173721
ROCKHAMPTON,1986,9,19693,20296,39989,0,0,0,19693,20296,39989
SUNSHINE COAST,1986,9,3584,4834,8418,0,0,0,3584,4834,8418
SYDNEY,1986,9,298289,286595,584884,133514,111710,245224,431803,398305,830108
TOWNSVILLE,1986,9,41574,43988,85562,1254,1539,2793,42828,45527,88355
NEWCASTLE,1986,9,3454,3225,6679,0,0,0,3454,3225,6679
ADELAIDE,1986,10,95673,93432,189105,7598,4383,11981,103271,97815,201086
ALICE SPRINGS,1986,10,26441,26021,52462,0,0,0,26441,26021,52462
All Australian Airports,1986,10,1326396,1326396,2652792,282320,213632,495952,1608716,1540028,3148744
BALLINA,1986,10,0,0,0,0,0,0,0,0,0
BRISBANE,1986,10,139065,131739,270804,26929,22475,49404,165994,154214,320208
CAIRNS,1986,10,30330,31157,61487,3935,2598,6533,34265,33755,68020
CANBERRA,1986,10,48170,48275,96445,0,0,0,48170,48275,96445
DARWIN,1986,10,13984,15749,29733,2288,2115,4403,16272,17864,34136
GOLD COAST,1986,10,38731,41028,79759,0,0,0,38731,41028,79759
HAMILTON ISLAND,1986,10,4393,4686,9079,0,0,0,4393,4686,9079
HOBART,1986,10,20035,19133,39168,504,412,916,20539,19545,40084
KARRATHA,1986,10,8918,9214,18132,0,0,0,8918,9214,18132
LAUNCESTON,1986,10,22602,22568,45170,0,0,0,22602,22568,45170
MACKAY,1986,10,9536,9824,19360,0,0,0,9536,9824,19360
MELBOURNE,1986,10,235580,237383,472963,64352,43722,108074,299932,281105,581037
PERTH,1986,10,67543,64755,132298,29826,20966,50792,97369,85721,183090
ROCKHAMPTON,1986,10,19297,19158,38455,0,0,0,19297,19158,38455
SUNSHINE COAST,1986,10,3972,3926,7898,0,0,0,3972,3926,7898
SYDNEY,1986,10,306851,311473,618324,144443,114690,259133,451294,426163,877457
TOWNSVILLE,1986,10,43626,43397,87023,1344,1273,2617,44970,44670,89640
NEWCASTLE,1986,10,3600,3626,7226,0,0,0,3600,3626,7226
ADELAIDE,1986,11,78346,78852,157198,6006,5070,11076,84352,83922,168274
ALICE SPRINGS,1986,11,25274,25101,50375,0,0,0,25274,25101,50375
All Australian Airports,1986,11,1214455,1214455,2428910,274844,250773,525617,1489299,1465228,2954527
BALLINA,1986,11,0,0,0,0,0,0,0,0,0
BRISBANE,1986,11,127808,126278,254086,24793,24559,49352,152601,150837,303438
CAIRNS,1986,11,25577,25961,51538,3415,2756,6171,28992,28717,57709
CANBERRA,1986,11,46997,46705,93702,0,0,0,46997,46705,93702
DARWIN,1986,11,11632,12094,23726,1748,1994,3742,13380,14088,27468
GOLD COAST,1986,11,33912,39741,73653,0,0,0,33912,39741,73653
HAMILTON ISLAND,1986,11,4505,4569,9074,0,0,0,4505,4569,9074
HOBART,1986,11,17495,17419,34914,622,611,1233,18117,18030,36147
KARRATHA,1986,11,7827,8011,15838,0,0,0,7827,8011,15838
LAUNCESTON,1986,11,22530,22107,44637,0,0,0,22530,22107,44637
MACKAY,1986,11,8613,8643,17256,0,0,0,8613,8643,17256
MELBOURNE,1986,11,224157,223211,447368,58774,51074,109848,282931,274285,557216
PERTH,1986,11,58613,57762,116375,27844,22763,50607,86457,80525,166982
ROCKHAMPTON,1986,11,17638,17774,35412,0,0,0,17638,17774,35412
SUNSHINE COAST,1986,11,3248,3366,6614,0,0,0,3248,3366,6614
SYDNEY,1986,11,287597,283001,570598,149128,139447,288575,436725,422448,859173
TOWNSVILLE,1986,11,39255,39825,79080,1366,1431,2797,40621,41256,81877
NEWCASTLE,1986,11,3254,3336,6590,0,0,0,3254,3336,6590
ADELAIDE,1986,12,81129,80905,162034,6716,6275,12991,87845,87180,175025
ALICE SPRINGS,1986,12,23802,24611,48413,0,0,0,23802,24611,48413
All Australian Airports,1986,12,1253728,1253728,2507456,280169,297553,577722,1533897,1551281,3085178
BALLINA,1986,12,521,404,925,0,0,0,521,404,925
BRISBANE,1986,12,133164,126223,259387,27937,27687,55624,161101,153910,315011
CAIRNS,1986,12,26929,26074,53003,3316,2639,5955,30245,28713,58958
CANBERRA,1986,12,39170,41184,80354,0,0,0,39170,41184,80354
DARWIN,1986,12,13736,17552,31288,1822,2769,4591,15558,20321,35879
GOLD COAST,1986,12,42453,36276,78729,0,0,0,42453,36276,78729
HAMILTON ISLAND,1986,12,5129,4094,9223,0,0,0,5129,4094,9223
HOBART,1986,12,24051,19834,43885,697,611,1308,24748,20445,45193
KARRATHA,1986,12,8863,10371,19234,0,0,0,8863,10371,19234
LAUNCESTON,1986,12,29280,24521,53801,0,0,0,29280,24521,53801
MACKAY,1986,12,8432,8563,16995,0,0,0,8432,8563,16995
MELBOURNE,1986,12,214621,235198,449819,59367,65791,125158,273988,300989,574977
PERTH,1986,12,76016,63953,139969,30322,30000,60322,106338,93953,200291
ROCKHAMPTON,1986,12,18168,17915,36083,0,0,0,18168,17915,36083
SUNSHINE COAST,1986,12,4463,3497,7960,0,0,0,4463,3497,7960
SYDNEY,1986,12,278613,289540,568153,147786,159325,307111,426399,448865,875264
TOWNSVILLE,1986,12,36608,38421,75029,1192,1531,2723,37800,39952,77752
NEWCASTLE,1986,12,3534,3441,6975,0,0,0,3534,3441,6975
ADELAIDE,1987,1,81827,82203,164030,7394,6411,13805,89221,88614,177835
ALICE SPRINGS,1987,1,29116,28706,57822,0,0,0,29116,28706,57822
All Australian Airports,1987,1,1306407,1306407,2612814,336241,278842,615083,1642648,1585249,3227897
BALLINA,1987,1,1122,1026,2148,0,0,0,1122,1026,2148
BRISBANE,1987,1,131936,131116,263052,32051,28602,60653,163987,159718,323705
CAIRNS,1987,1,27097,29494,56591,4302,3241,7543,31399,32735,64134
CANBERRA,1987,1,35575,32855,68430,0,0,0,35575,32855,68430
DARWIN,1987,1,17625,15467,33092,3346,2077,5423,20971,17544,38515
GOLD COAST,1987,1,46973,60448,107421,0,0,0,46973,60448,107421
HAMILTON ISLAND,1987,1,5473,6542,12015,0,0,0,5473,6542,12015
HOBART,1987,1,25051,31081,56132,1027,1136,2163,26078,32217,58295
KARRATHA,1987,1,9586,8341,17927,0,0,0,9586,8341,17927
LAUNCESTON,1987,1,31230,36027,67257,0,0,0,31230,36027,67257
MACKAY,1987,1,8254,8230,16484,0,0,0,8254,8230,16484
MELBOURNE,1987,1,244108,226315,470423,75017,55952,130969,319125,282267,601392
PERTH,1987,1,77217,76315,153532,35226,29316,64542,112443,105631,218074
ROCKHAMPTON,1987,1,17615,17796,35411,0,0,0,17615,17796,35411
SUNSHINE COAST,1987,1,4417,5390,9807,0,0,0,4417,5390,9807
SYDNEY,1987,1,291577,283686,575263,175469,149846,325315,467046,433532,900578
TOWNSVILLE,1987,1,39181,38335,77516,1476,1326,2802,40657,39661,80318
NEWCASTLE,1987,1,3252,3318,6570,0,0,0,3252,3318,6570
ADELAIDE,1987,2,72995,71189,144184,5470,4329,9799,78465,75518,153983
ALICE SPRINGS,1987,2,22669,22801,45470,0,0,0,22669,22801,45470
All Australian Airports,1987,2,1135705,1135705,2271410,263562,233605,497167,1399267,1369310,2768577
BALLINA,1987,2,825,596,1421,0,0,0,825,596,1421
BRISBANE,1987,2,111270,108201,219471,22389,21595,43984,133659,129796,263455
CAIRNS,1987,2,22217,21307,43524,2812,2928,5740,25029,24235,49264
CANBERRA,1987,2,43519,43197,86716,0,0,0,43519,43197,86716
DARWIN,1987,2,10645,10556,21201,1784,1409,3193,12429,11965,24394
GOLD COAST,1987,2,30094,36430,66524,0,0,0,30094,36430,66524
HAMILTON ISLAND,1987,2,3921,4117,8038,0,0,0,3921,4117,8038
HOBART,1987,2,20130,18709,38839,937,732,1669,21067,19441,40508
KARRATHA,1987,2,7458,7370,14828,0,0,0,7458,7370,14828
LAUNCESTON,1987,2,24796,23361,48157,0,0,0,24796,23361,48157
MACKAY,1987,2,6796,7185,13981,0,0,0,6796,7185,13981
MELBOURNE,1987,2,214705,208901,423606,60597,46479,107076,275302,255380,530682
PERTH,1987,2,56900,70478,127378,25925,25080,51005,82825,95558,178383
ROCKHAMPTON,1987,2,15476,15368,30844,0,0,0,15476,15368,30844
SUNSHINE COAST,1987,2,2511,2771,5282,0,0,0,2511,2771,5282
SYDNEY,1987,2,270645,265594,536239,141879,129287,271166,412524,394881,807405
TOWNSVILLE,1987,2,32502,32708,65210,823,838,1661,33325,33546,66871
NEWCASTLE,1987,2,2600,2568,5168,0,0,0,2600,2568,5168
ADELAIDE,1987,3,82496,83480,165976,5750,7052,12802,88246,90532,178778
ALICE SPRINGS,1987,3,24588,24783,49371,0,0,0,24588,24783,49371
All Australian Airports,1987,3,1241299,1241299,2482598,246336,274131,520467,1487635,1515430,3003065
BALLINA,1987,3,934,770,1704,0,0,0,934,770,1704
BRISBANE,1987,3,122545,121941,244486,23636,24857,48493,146181,146798,292979
CAIRNS,1987,3,24993,24109,49102,2525,2427,4952,27518,26536,54054
CANBERRA,1987,3,47247,46968,94215,0,0,0,47247,46968,94215
DARWIN,1987,3,12085,11659,23744,1744,1810,3554,13829,13469,27298
GOLD COAST,1987,3,32656,37519,70175,0,0,0,32656,37519,70175
HAMILTON ISLAND,1987,3,4215,4065,8280,0,0,0,4215,4065,8280
HOBART,1987,3,19237,20474,39711,994,717,1711,20231,21191,41422
KARRATHA,1987,3,8346,8049,16395,0,0,0,8346,8049,16395
LAUNCESTON,1987,3,25146,26028,51174,0,0,0,25146,26028,51174
MACKAY,1987,3,8352,8245,16597,0,0,0,8352,8245,16597
MELBOURNE,1987,3,232618,233355,465973,54002,60158,114160,286620,293513,580133
PERTH,1987,3,57679,58808,116487,25261,27855,53116,82940,86663,169603
ROCKHAMPTON,1987,3,18007,18094,36101,0,0,0,18007,18094,36101
SUNSHINE COAST,1987,3,3036,3076,6112,0,0,0,3036,3076,6112
SYDNEY,1987,3,296419,290132,586551,130483,147256,277739,426902,437388,864290
TOWNSVILLE,1987,3,37211,37068,74279,926,970,1896,38137,38038,76175
NEWCASTLE,1987,3,2835,2891,5726,0,0,0,2835,2891,5726
ADELAIDE,1987,4,82857,83876,166733,4916,6156,11072,87773,90032,177805
ALICE SPRINGS,1987,4,26325,26172,52497,0,0,0,26325,26172,52497
All Australian Airports,1987,4,1321084,1321084,2642168,245843,258248,504091,1566927,1579332,3146259
BALLINA,1987,4,1279,991,2270,0,0,0,1279,991,2270
BRISBANE,1987,4,136622,134641,271263,26120,25134,51254,162742,159775,322517
CAIRNS,1987,4,29291,29109,58400,5406,4517,9923,34697,33626,68323
CANBERRA,1987,4,44028,45530,89558,0,0,0,44028,45530,89558
DARWIN,1987,4,14257,14096,28353,2284,2467,4751,16541,16563,33104
GOLD COAST,1987,4,41043,44221,85264,0,0,0,41043,44221,85264
HAMILTON ISLAND,1987,4,5804,5671,11475,0,0,0,5804,5671,11475
HOBART,1987,4,21019,21962,42981,714,629,1343,21733,22591,44324
KARRATHA,1987,4,8817,8756,17573,0,0,0,8817,8756,17573
LAUNCESTON,1987,4,26112,28143,54255,0,0,0,26112,28143,54255
MACKAY,1987,4,8757,8665,17422,0,0,0,8757,8665,17422
MELBOURNE,1987,4,241721,240627,482348,50932,52682,103614,292653,293309,585962
PERTH,1987,4,62801,64438,127239,24749,27062,51811,87550,91500,179050
ROCKHAMPTON,1987,4,20113,19968,40081,0,0,0,20113,19968,40081
SUNSHINE COAST,1987,4,3422,3452,6874,0,0,0,3422,3452,6874
SYDNEY,1987,4,310202,301845,612047,128578,137756,266334,438780,439601,878381
TOWNSVILLE,1987,4,40508,40282,80790,942,744,1686,41450,41026,82476
NEWCASTLE,1987,4,2947,3039,5986,0,0,0,2947,3039,5986
ADELAIDE,1987,5,77770,79459,157229,4564,6034,10598,82334,85493,167827
ALICE SPRINGS,1987,5,24884,25363,50247,0,0,0,24884,25363,50247
All Australian Airports,1987,5,1208563,1208563,2417126,234032,269714,503746,1442595,1478277,2920872
BALLINA,1987,5,798,693,1491,0,0,0,798,693,1491
BRISBANE,1987,5,125261,122797,248058,26851,27973,54824,152112,150770,302882
CAIRNS,1987,5,26290,25562,51852,4251,4090,8341,30541,29652,60193
CANBERRA,1987,5,48051,48092,96143,0,0,0,48051,48092,96143
DARWIN,1987,5,15457,14554,30011,2229,2306,4535,17686,16860,34546
GOLD COAST,1987,5,31914,34347,66261,0,0,0,31914,34347,66261
HAMILTON ISLAND,1987,5,4690,4908,9598,0,0,0,4690,4908,9598
HOBART,1987,5,17788,20666,38454,728,707,1435,18516,21373,39889
KARRATHA,1987,5,8245,8443,16688,0,0,0,8245,8443,16688
LAUNCESTON,1987,5,23356,25815,49171,0,0,0,23356,25815,49171
MACKAY,1987,5,8338,8482,16820,0,0,0,8338,8482,16820
MELBOURNE,1987,5,221898,220297,442195,47989,57865,105854,269887,278162,548049
PERTH,1987,5,57349,57937,115286,20390,25210,45600,77739,83147,160886
ROCKHAMPTON,1987,5,17587,17663,35250,0,0,0,17587,17663,35250
SUNSHINE COAST,1987,5,2747,2691,5438,0,0,0,2747,2691,5438
SYDNEY,1987,5,285412,279160,564572,124873,143228,268101,410285,422388,832673
TOWNSVILLE,1987,5,41483,41249,82732,1066,1160,2226,42549,42409,84958
NEWCASTLE,1987,5,2540,2520,5060,0,0,0,2540,2520,5060
ADELAIDE,1987,6,72632,72966,145598,4655,5161,9816,77287,78127,155414
ALICE SPRINGS,1987,6,25014,24886,49900,0,0,0,25014,24886,49900
All Australian Airports,1987,6,1178189,1178189,2356378,229533,251647,481180,1407722,1429836,2837558
BALLINA,1987,6,976,799,1775,0,0,0,976,799,1775
BRISBANE,1987,6,129935,130005,259940,28685,28309,56994,158620,158314,316934
CAIRNS,1987,6,30811,27010,57821,5347,3979,9326,36158,30989,67147
CANBERRA,1987,6,40527,40837,81364,0,0,0,40527,40837,81364
DARWIN,1987,6,17843,17147,34990,2216,3120,5336,20059,20267,40326
GOLD COAST,1987,6,35104,35373,70477,0,0,0,35104,35373,70477
HAMILTON ISLAND,1987,6,5692,4988,10680,0,0,0,5692,4988,10680
HOBART,1987,6,19236,16579,35815,559,380,939,19795,16959,36754
KARRATHA,1987,6,8333,8014,16347,0,0,0,8333,8014,16347
LAUNCESTON,1987,6,22339,21118,43457,0,0,0,22339,21118,43457
MACKAY,1987,6,8686,8390,17076,0,0,0,8686,8390,17076
MELBOURNE,1987,6,202899,221203,424102,45982,57200,103182,248881,278403,527284
PERTH,1987,6,52567,51635,104202,22793,25479,48272,75360,77114,152474
ROCKHAMPTON,1987,6,17949,18171,36120,0,0,0,17949,18171,36120
SUNSHINE COAST,1987,6,3461,3230,6691,0,0,0,3461,3230,6691
SYDNEY,1987,6,276208,273222,549430,117317,126248,243565,393525,399470,792995
TOWNSVILLE,1987,6,40886,40144,81030,982,768,1750,41868,40912,82780
NEWCASTLE,1987,6,2824,2847,5671,0,0,0,2824,2847,5671
ADELAIDE,1987,7,87245,88910,176155,6530,5611,12141,93775,94521,188296
ALICE SPRINGS,1987,7,36477,37990,74467,0,0,0,36477,37990,74467
All Australian Airports,1987,7,1386508,1386508,2773016,304662,273355,578017,1691170,1659863,3351033
BALLINA,1987,7,1310,1124,2434,0,0,0,1310,1124,2434
BRISBANE,1987,7,160319,154312,314631,36933,30360,67293,197252,184672,381924
CAIRNS,1987,7,38496,39443,77939,5957,5187,11144,44453,44630,89083
CANBERRA,1987,7,44241,45470,89711,0,0,0,44241,45470,89711
DARWIN,1987,7,23101,23523,46624,4117,3419,7536,27218,26942,54160
GOLD COAST,1987,7,41941,44254,86195,0,0,0,41941,44254,86195
HAMILTON ISLAND,1987,7,6634,7209,13843,0,0,0,6634,7209,13843
HOBART,1987,7,17008,18662,35670,432,388,820,17440,19050,36490
KARRATHA,1987,7,9838,10007,19845,0,0,0,9838,10007,19845
LAUNCESTON,1987,7,19897,21007,40904,0,0,0,19897,21007,40904
MACKAY,1987,7,9474,9646,19120,0,0,0,9474,9646,19120
MELBOURNE,1987,7,244234,234063,478297,64716,55056,119772,308950,289119,598069
PERTH,1987,7,65876,67080,132956,29103,26376,55479,94979,93456,188435
ROCKHAMPTON,1987,7,21816,21641,43457,0,0,0,21816,21641,43457
SUNSHINE COAST,1987,7,3806,3670,7476,0,0,0,3806,3670,7476
SYDNEY,1987,7,320203,321661,641864,154634,144951,299585,474837,466612,941449
TOWNSVILLE,1987,7,46504,46960,93464,1147,967,2114,47651,47927,95578
NEWCASTLE,1987,7,2918,2929,5847,0,0,0,2918,2929,5847
ADELAIDE,1987,8,84874,84708,169582,6011,5629,11640,90885,90337,181222
ALICE SPRINGS,1987,8,32288,32862,65150,0,0,0,32288,32862,65150
All Australian Airports,1987,8,1316872,1316872,2633744,290267,292715,582982,1607139,1609587,3216726
BALLINA,1987,8,987,793,1780,0,0,0,987,793,1780
BRISBANE,1987,8,147141,144894,292035,32607,32682,65289,179748,177576,357324
CAIRNS,1987,8,36030,36487,72517,4757,4797,9554,40787,41284,82071
CANBERRA,1987,8,43879,45951,89830,0,0,0,43879,45951,89830
DARWIN,1987,8,18550,20078,38628,2807,2951,5758,21357,23029,44386
GOLD COAST,1987,8,41704,46219,87923,0,0,0,41704,46219,87923
HAMILTON ISLAND,1987,8,7332,7104,14436,0,0,0,7332,7104,14436
HOBART,1987,8,17783,20332,38115,620,627,1247,18403,20959,39362
KARRATHA,1987,8,8644,8839,17483,0,0,0,8644,8839,17483
LAUNCESTON,1987,8,20971,21912,42883,0,0,0,20971,21912,42883
MACKAY,1987,8,8559,8701,17260,0,0,0,8559,8701,17260
MELBOURNE,1987,8,233211,229680,462891,62874,58505,121379,296085,288185,584270
PERTH,1987,8,61065,59747,120812,27336,26269,53605,88401,86016,174417
ROCKHAMPTON,1987,8,18626,18709,37335,0,0,0,18626,18709,37335
SUNSHINE COAST,1987,8,3694,3627,7321,0,0,0,3694,3627,7321
SYDNEY,1987,8,310005,304612,614617,151067,158917,309984,461072,463529,924601
TOWNSVILLE,1987,8,45007,45254,90261,1088,1175,2263,46095,46429,92524
NEWCASTLE,1987,8,2568,2432,5000,0,0,0,2568,2432,5000
ADELAIDE,1987,9,85341,86790,172131,6478,5777,12255,91819,92567,184386
ALICE SPRINGS,1987,9,30668,30513,61181,0,0,0,30668,30513,61181
All Australian Airports,1987,9,1378347,1378347,2756694,293051,284202,577253,1671398,1662549,3333947
BALLINA,1987,9,1189,795,1984,0,0,0,1189,795,1984
BRISBANE,1987,9,149544,146631,296175,30109,32301,62410,179653,178932,358585
CAIRNS,1987,9,35631,34708,70339,5559,4713,10272,41190,39421,80611
CANBERRA,1987,9,47867,44444,92311,0,0,0,47867,44444,92311
DARWIN,1987,9,16967,18031,34998,2270,2415,4685,19237,20446,39683
GOLD COAST,1987,9,49502,50237,99739,0,0,0,49502,50237,99739
HAMILTON ISLAND,1987,9,8431,7666,16097,0,0,0,8431,7666,16097
HOBART,1987,9,23778,19085,42863,650,472,1122,24428,19557,43985
KARRATHA,1987,9,8542,7996,16538,0,0,0,8542,7996,16538
LAUNCESTON,1987,9,26174,22146,48320,0,0,0,26174,22146,48320
MACKAY,1987,9,8779,8801,17580,0,0,0,8779,8801,17580
MELBOURNE,1987,9,251766,266093,517859,67981,61591,129572,319747,327684,647431
