AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
SUNSHINE COAST,1986,3,3588,3422,7010,0,0,0,3588,3422,7010
SYDNEY,1986,3,284469,283431,567900,126596,137002,263598,411065,420433,831498
TOWNSVILLE,1986,3,38188,38193,76381,931,759,1690,39119,38952,78071
NEWCASTLE,1986,3,6130,6151,12281,0,0,0,6130,6151,12281
ADELAIDE,1986,4,80118,82628,162746,3791,6316,10107,83909,88944,172853
ALICE SPRINGS,1986,4,26300,26671,52971,0,0,0,26300,26671,52971
All Australian Airports,1986,4,1210883,1210883,2421766,208330,243972,452302,1419213,1454855,2874068
BALLINA,1986,4,0,0,0,0,0,0,0,0,0
BRISBANE,1986,4,118321,116765,235086,21269,21090,42359,139590,137855,277445
CAIRNS,1986,4,22648,22332,44980,2876,2365,5241,25524,24697,50221
CANBERRA,1986,4,45363,46197,91560,0,0,0,45363,46197,91560
DARWIN,1986,4,13624,13454,27078,2195,1980,4175,15819,15434,31253
GOLD COAST,1986,4,27208,31740,58948,0,0,0,27208,31740,58948
HAMILTON ISLAND,1986,4,2169,2549,4718,0,0,0,2169,2549,4718
HOBART,1986,4,18648,21249,39897,617,410,1027,19265,21659,40924
KARRATHA,1986,4,8362,8197,16559,0,0,0,8362,8197,16559
LAUNCESTON,1986,4,22932,24239,47171,0,0,0,22932,24239,47171
MACKAY,1986,4,8615,8933,17548,0,0,0,8615,8933,17548
MELBOURNE,1986,4,226600,218149,444749,43239,51176,94415,269839,269325,539164
PERTH,1986,4,58727,58277,117004,18767,22238,41005,77494,80515,158009
ROCKHAMPTON,1986,4,17458,17474,34932,0,0,0,17458,17474,34932
SUNSHINE COAST,1986,4,2900,3083,5983,0,0,0,2900,3083,5983
SYDNEY,1986,4,280607,276764,557371,113767,136596,250363,394374,413360,807734
TOWNSVILLE,1986,4,40102,38860,78962,855,921,1776,40957,39781,80738
NEWCASTLE,1986,4,3233,3242,6475,0,0,0,3233,3242,6475
ADELAIDE,1986,5,85314,88981,174295,5231,7070,12301,90545,96051,186596
ALICE SPRINGS,1986,5,24921,24798,49719,0,0,0,24921,24798,49719
All Australian Airports,1986,5,1273662,1273662,2547324,214800,239637,454437,1488462,1513299,3001761
BALLINA,1986,5,0,0,0,0,0,0,0,0,0
BRISBANE,1986,5,127838,126110,253948,21586,22144,43730,149424,148254,297678
CAIRNS,1986,5,22846,22503,45349,1882,2266,4148,24728,24769,49497
CANBERRA,1986,5,47514,48319,95833,0,0,0,47514,48319,95833
DARWIN,1986,5,16184,15479,31663,1566,1474,3040,17750,16953,34703
GOLD COAST,1986,5,35061,36740,71801,0,0,0,35061,36740,71801
HAMILTON ISLAND,1986,5,2627,2639,5266,0,0,0,2627,2639,5266
HOBART,1986,5,17425,20807,38232,497,412,909,17922,21219,39141
KARRATHA,1986,5,8285,8487,16772,0,0,0,8285,8487,16772
LAUNCESTON,1986,5,22059,24268,46327,0,0,0,22059,24268,46327
MACKAY,1986,5,9905,9811,19716,0,0,0,9905,9811,19716
MELBOURNE,1986,5,235318,231873,467191,47958,56902,104860,283276,288775,572051
PERTH,1986,5,55361,55216,110577,16965,20301,37266,72326,75517,147843
ROCKHAMPTON,1986,5,18757,18642,37399,0,0,0,18757,18642,37399
SUNSHINE COAST,1986,5,3980,3907,7887,0,0,0,3980,3907,7887
SYDNEY,1986,5,303071,296044,599115,117047,127045,244092,420118,423089,843207
TOWNSVILLE,1986,5,43146,42692,85838,1060,1053,2113,44206,43745,87951
NEWCASTLE,1986,5,4777,4766,9543,0,0,0,4777,4766,9543
ADELAIDE,1986,6,75394,74831,150225,5394,5506,10900,80788,80337,161125
